"id","title","line","section","catalogStatus","uploadState","uploadLabel","hasImage","imageSrc","href"
"unisex-shirt-dual","Techno mit Herz. Unisex Tee","Unisex","Unisex","Prioritaet","pending","Noch offen","true","/store-assets/variants/unisex-backprint-options.png","/shop.html#unisex-drop"
"unisex-hoodie-switch","Front Dual Logo, Ruecken frei waehlbar","Unisex","Unisex","Geplant","pending","Noch offen","true","/store-assets/variants/unisex-backprint-options.png","/shop.html#unisex-drop"
"unisex-shirt-core","Core Shirt mit Backprint-Wahl","Unisex","Unisex","Geplant","pending","Noch offen","true","/store-assets/variants/unisex-backprint-options.png","/shop.html#unisex-drop"
"unisex-sweat-core","Techno mit Herz Sweatshirt","Unisex","Unisex","Geplant","pending","Noch offen","true","/store-assets/variants/unisex-backprint-options.png","/shop.html#unisex-drop"
"unisex-polo-duo","Duo Polo","Unisex","Unisex","Konzept","pending","Noch offen","true","/store-assets/variants/unisex-backprint-options.png","/shop.html#unisex-drop"
"unisex-daylight-hoodie","Daylight Unisex Hoodie","Unisex","Unisex","In Vorbereitung","pending","Noch offen","true","/store-assets/variants/couple-front-verheiratet.png","/shop.html#unisex-drop"
"unisex-backline-core","Backline Core Longsleeve","Unisex","Unisex","Geplant","pending","Noch offen","true","/store-assets/variants/unisex-backprint-options.png","/shop.html#unisex-drop"
"unisex-oversize-nightcode","Nightcode Oversize Tee","Unisex","Unisex","Geplant","pending","Noch offen","true","/store-assets/variants/unisex-backprint-options.png","/shop.html#unisex-drop"
"unisex-zip-pairmode","Pair Mode Zip","Unisex","Unisex","In Vorbereitung","pending","Noch offen","true","/store-assets/variants/unisex-backprint-options.png","/shop.html#unisex-drop"
"unisex-tee-sharedpulse","Shared Pulse Tee","Unisex","Unisex","Geplant","pending","Noch offen","true","/store-assets/variants/unisex-backprint-options.png","/shop.html#unisex-drop"
"unisex-heavytee-coreloop","Coreloop Heavy Tee","Unisex","Unisex","Geplant","pending","Noch offen","true","/store-assets/variants/unisex-backprint-options.png","/shop.html#unisex-drop"
"unisex-crew-switchline","Switchline Crewneck","Unisex","Unisex","In Vorbereitung","pending","Noch offen","true","/store-assets/variants/unisex-backprint-options.png","/shop.html#unisex-drop"
"unisex-longsleeve-duallabel","Dual Label Longsleeve","Unisex","Unisex","Geplant","pending","Noch offen","true","/store-assets/variants/unisex-backprint-options.png","/shop.html#unisex-drop"
"unisex-hoodie-midnightchoice","Midnight Choice Hoodie","Unisex","Unisex","Geplant","pending","Noch offen","true","/store-assets/variants/unisex-backprint-options.png","/shop.html#unisex-drop"
"unisex-tee-choice-ready","Choice Tee Ready","Unisex","Unisex","Uploadbereit","ready","Uploadbereit","true","/store-assets/variants/unisex-backprint-options.png","/shop.html#unisex-drop"
"unisex-hoodie-choice-ready","Choice Hoodie Ready","Unisex","Unisex","Uploadbereit","ready","Uploadbereit","true","/store-assets/variants/unisex-backprint-options.png","/shop.html#unisex-drop"
"unisex-longsleeve-choice-ready","Choice Longsleeve Ready","Unisex","Unisex","Uploadbereit","ready","Uploadbereit","true","/store-assets/variants/unisex-backprint-options.png","/shop.html#unisex-drop"
"unisex-tee-core-top","Core Tee Top Upload","Unisex","Unisex","Top Upload","ready","Uploadbereit","true","/store-assets/variants/unisex-backprint-options.png","/shop.html#unisex-drop"
"unisex-hoodie-core-top","Core Hoodie Top Upload","Unisex","Unisex","Top Upload","ready","Uploadbereit","true","/store-assets/variants/unisex-backprint-options.png","/shop.html#unisex-drop"
"unisex-longsleeve-core-top","Core Longsleeve Top Upload","Unisex","Unisex","Top Upload","ready","Uploadbereit","true","/store-assets/variants/unisex-backprint-options.png","/shop.html#unisex-drop"
"unisex-tee-switch-top","Switch Tee Top Upload","Unisex","Unisex","Top Upload","ready","Uploadbereit","true","/store-assets/variants/unisex-backprint-options.png","/shop.html#unisex-drop"
"unisex-hoodie-switch-top","Switch Hoodie Top Upload","Unisex","Unisex","Top Upload","ready","Uploadbereit","true","/store-assets/variants/unisex-backprint-options.png","/shop.html#unisex-drop"
"unisex-crew-core-top","Core Crewneck Top Upload","Unisex","Unisex","Top Upload","ready","Uploadbereit","true","/store-assets/variants/unisex-backprint-options.png","/shop.html#unisex-drop"
"accessory-tote-techno","Techno mit Herz Tote Bag","Accessories","Accessoires","Geplant","pending","Noch offen","true","/store-assets/variants/couple-front-verheiratet.png","/shop.html#accessoires"
"accessory-cap-gray","Dr. Gray Cap","Accessories","Accessoires","Geplant","pending","Noch offen","true","/store-assets/variants/dr-back-logo.png","/shop.html#accessoires"
"accessory-cap-retro","Retro Duo Cap","Accessories","Accessoires","In Vorbereitung","pending","Noch offen","true","/store-assets/variants/accessory-dr-retro-cap.png","/shop.html#accessoires"
"accessory-mug-mrs","Mrs. Dr. Gray Mug","Accessories","Accessoires","Geplant","pending","Noch offen","true","/store-assets/variants/mrs-front-zu-wild.png","/shop.html#accessoires"
"accessory-bag-club","Clubnight Bag","Accessories","Accessoires","Konzept","pending","Noch offen","true","/store-assets/variants/couple-front-verheiratet.png","/shop.html#accessoires"
"accessory-beanie-dark","Darkline Beanie","Accessories","Accessoires","Geplant","pending","Noch offen","true","/store-assets/variants/dr-back-logo.png","/shop.html#accessoires"
"accessory-phonecase-duo","Duo Phone Case","Accessories","Accessoires","Konzept","pending","Noch offen","true","/store-assets/variants/couple-front-two-hearts.png","/shop.html#accessoires"
"accessory-poster-set","Poster & Print Set","Accessories","Accessoires","Konzept","pending","Noch offen","true","/store-assets/variants/couple-front-two-hearts.png","/shop.html#accessoires"
"accessory-rainline-poster","Rainline Poster Drop","Accessories","Accessoires","In Vorbereitung","pending","Noch offen","true","/store-assets/variants/couple-front-two-hearts.png","/shop.html#accessoires"
"accessory-gymbag-pressure","Pressure Gym Bag","Accessories","Accessoires","Geplant","pending","Noch offen","true","/store-assets/variants/dr-back-logo.png","/shop.html#accessoires"
"accessory-lanyard-nightpass","Nightpass Lanyard","Accessories","Accessoires","Konzept","pending","Noch offen","true","/store-assets/variants/couple-front-two-hearts.png","/shop.html#accessoires"
"accessory-sticker-nightcode","Nightcode Sticker Pack","Accessories","Accessoires","Geplant","pending","Noch offen","true","/store-assets/variants/mrs-front-signature.png","/shop.html#accessoires"
"accessory-pinset-couple","Couple Pin Set","Accessories","Accessoires","Konzept","pending","Noch offen","true","/store-assets/variants/couple-front-verheiratet.png","/shop.html#accessoires"
"accessory-tote-nightline","Nightline Tote","Accessories","Accessoires","Geplant","pending","Noch offen","true","/store-assets/variants/dr-back-logo.png","/shop.html#accessoires"
"accessory-cap-duallogo","Dual Logo Snap Cap","Accessories","Accessoires","In Vorbereitung","pending","Noch offen","true","/store-assets/variants/accessory-dr-retro-cap.png","/shop.html#accessoires"
"accessory-mug-couplepulse","Couple Pulse Mug Set","Accessories","Accessoires","Geplant","pending","Noch offen","true","/store-assets/variants/couple-front-two-hearts.png","/shop.html#accessoires"
"accessory-poster-citygrid","City Grid Poster","Accessories","Accessoires","Konzept","pending","Noch offen","true","/store-assets/variants/couple-front-verheiratet.png","/shop.html#accessoires"
"accessory-tote-ready","Core Tote Ready","Accessories","Accessoires","Uploadbereit","ready","Uploadbereit","true","/store-assets/variants/dr-back-logo.png","/shop.html#accessoires"
"accessory-mug-ready","Core Mug Ready","Accessories","Accessoires","Uploadbereit","ready","Uploadbereit","true","/store-assets/variants/mrs-front-signature.png","/shop.html#accessoires"
"accessory-poster-ready","Night Poster Ready","Accessories","Accessoires","Uploadbereit","ready","Uploadbereit","true","/store-assets/variants/couple-front-two-hearts.png","/shop.html#accessoires"
"accessory-tote-top","Core Tote Top Upload","Accessories","Accessoires","Top Upload","ready","Uploadbereit","true","/store-assets/variants/dr-back-logo.png","/shop.html#accessoires"
"accessory-cap-top","Snap Cap Top Upload","Accessories","Accessoires","Top Upload","ready","Uploadbereit","true","/store-assets/variants/accessory-dr-retro-cap.png","/shop.html#accessoires"
"accessory-mug-top","Core Mug Top Upload","Accessories","Accessoires","Top Upload","ready","Uploadbereit","true","/store-assets/variants/mrs-front-signature.png","/shop.html#accessoires"
"accessory-poster-neon-top","Neon Poster Top Upload","Accessories","Accessoires","Top Upload","ready","Uploadbereit","true","/store-assets/variants/couple-front-two-hearts.png","/shop.html#accessoires"
"accessory-phonecase-core-top","Core Phone Case Top Upload","Accessories","Accessoires","Top Upload","ready","Uploadbereit","true","/store-assets/variants/couple-front-two-hearts.png","/shop.html#accessoires"
"accessory-sticker-core-top","Core Sticker Pack Top Upload","Accessories","Accessoires","Top Upload","ready","Uploadbereit","true","/store-assets/variants/mrs-front-signature.png","/shop.html#accessoires"
"dr-tank-mainfloor-top","Mainfloor Tank Top Upload","Dr. Gray","Herren","Top Upload","ready","Uploadbereit","true","/store-assets/variants/dr-front-bass-im-blut.png","/shop.html#herren-kollektion"
"dr-shirt-controlgrid-upload","Control Grid Tee Upload","Dr. Gray","Herren","Uploadbereit","ready","Uploadbereit","true","/store-assets/variants/dr-front-treibend-roh-ehrlich.png","/shop.html#herren-kollektion"
"mrs-dress-nightline-top","Nightline Dress Top Upload","Mrs. Dr. Gray","Damen","Top Upload","ready","Uploadbereit","true","/store-assets/variants/mrs-dress-front-liebe-lauter.png","/shop.html#damen-kollektion"
"mrs-crop-heartline-top","Heartline Crop Top Upload","Mrs. Dr. Gray","Damen","Top Upload","ready","Uploadbereit","true","/store-assets/variants/mrs-front-liebe-lauter.png","/shop.html#damen-kollektion"
"mrs-hoodie-signal-ready","Signal Hoodie Upload","Mrs. Dr. Gray","Damen","Uploadbereit","ready","Uploadbereit","true","/store-assets/variants/mrs-front-signature.png","/shop.html#damen-kollektion"
"couple-hoodie-symmetry-top","Symmetry Hoodie Top Upload","Couple","Couple","Top Upload","ready","Uploadbereit","true","/store-assets/variants/couple-front-verheiratet.png","/shop.html#couple-edition"
"couple-tee-rhythm-ready","One Rhythm Tee Upload","Couple","Couple","Uploadbereit","ready","Uploadbereit","true","/store-assets/variants/couple-front-two-hearts.png","/shop.html#couple-edition"
"couple-longsleeve-vow","Beat Vow Longsleeve","Couple","Couple","Geplant","pending","Noch offen","true","/store-assets/variants/couple-front-verheiratet.png","/shop.html#couple-edition"
"unisex-tee-cleanfront-top","Clean Front Tee Top Upload","Unisex","Unisex","Top Upload","ready","Uploadbereit","true","/store-assets/variants/dr-back-logo.png","/shop.html#unisex-drop"
"unisex-hoodie-backprint-ready","Backprint Choice Hoodie","Unisex","Unisex","Uploadbereit","ready","Uploadbereit","true","/store-assets/variants/mrs-front-signature.png","/shop.html#unisex-drop"
"unisex-sweat-core-upload","Core Sweat Upload","Unisex","Unisex","Uploadbereit","ready","Uploadbereit","true","/store-assets/variants/dr-front-kein-mainstream.png","/shop.html#unisex-drop"
"accessory-beanie-nightcore-top","Nightcore Beanie Top Upload","Accessories","Accessoires","Top Upload","ready","Uploadbereit","true","/store-assets/variants/accessory-dr-retro-cap.png","/shop.html#accessoires"
"accessory-bottle-raveflow-ready","Raveflow Bottle Upload","Accessories","Accessoires","Uploadbereit","ready","Uploadbereit","true","/store-assets/variants/mrs-front-signature.png","/shop.html#accessoires"
"accessory-keyring-duallogo","Dual Logo Keyring","Accessories","Accessoires","Geplant","pending","Noch offen","true","/store-assets/variants/couple-front-two-hearts.png","/shop.html#accessoires"
"special-fan-card-limited","Founders Fan Card","Special Merch","Special","Special Drop","pending","Noch offen","true","/store-assets/variants/couple-front-verheiratet.png","/kontakt.html"
"special-lanyard-clubpass","Clubpass Lanyard","Special Merch","Special","Konzept","pending","Noch offen","true","/store-assets/variants/dr-back-logo.png","/kontakt.html"
"dr-overshirt-nightline-top","Nightline Overshirt Top Upload","Dr. Gray","Herren","Top Upload","ready","Uploadbereit","true","/store-assets/variants/dr-back-logo.png","/shop.html#herren-kollektion"
"dr-tee-druckpunkt-upload","Druckpunkt Tee Upload","Dr. Gray","Herren","Uploadbereit","ready","Uploadbereit","true","/store-assets/variants/dr-front-kein-mainstream.png","/shop.html#herren-kollektion"
"mrs-polo-signature-top","Signature Polo Top Upload","Mrs. Dr. Gray","Damen","Top Upload","ready","Uploadbereit","true","/store-assets/variants/mrs-front-signature.png","/shop.html#damen-kollektion"
"mrs-longsleeve-louder-upload","Liebe Lauter Longsleeve Upload","Mrs. Dr. Gray","Damen","Uploadbereit","ready","Uploadbereit","true","/store-assets/variants/mrs-front-liebe-lauter.png","/shop.html#damen-kollektion"
"couple-tee-vow-top","Vow Tee Top Upload","Couple","Couple","Top Upload","ready","Uploadbereit","true","/store-assets/variants/couple-front-verheiratet.png","/shop.html#couple-edition"
"couple-hoodie-rhythm-upload","Rhythm Hoodie Upload","Couple","Couple","Uploadbereit","ready","Uploadbereit","true","/store-assets/variants/couple-front-two-hearts.png","/shop.html#couple-edition"
"unisex-polo-core-top","Core Polo Top Upload","Unisex","Unisex","Top Upload","ready","Uploadbereit","true","/store-assets/variants/dr-back-logo.png","/shop.html#unisex-drop"
"unisex-longsleeve-clean-upload","Clean Longsleeve Upload","Unisex","Unisex","Uploadbereit","ready","Uploadbereit","true","/store-assets/variants/mrs-front-signature.png","/shop.html#unisex-drop"
"accessory-gymbag-core-top","Core Gymbag Top Upload","Accessories","Accessoires","Top Upload","ready","Uploadbereit","true","/store-assets/variants/dr-back-logo.png","/shop.html#accessoires"
"accessory-cushion-couple-upload","Couple Cushion Upload","Accessories","Accessoires","Uploadbereit","ready","Uploadbereit","true","/store-assets/variants/couple-front-two-hearts.png","/shop.html#accessoires"
"accessory-notebook-nightline","Nightline Notebook","Accessories","Accessoires","Geplant","pending","Noch offen","true","/store-assets/variants/mrs-front-signature.png","/shop.html#accessoires"
"special-vip-pass-card","VIP Pass Card Set","Special Merch","Special","Special Drop","pending","Noch offen","true","/store-assets/variants/couple-front-verheiratet.png","/kontakt.html"
"special-metal-pin-duo","Duo Metal Pin Limited","Special Merch","Special","Konzept","pending","Noch offen","true","/store-assets/variants/dr-back-logo.png","/kontakt.html"
"special-lighter-afterhour","Afterhour Feuerzeug","Special Merch","Special","Special Drop","pending","Noch offen","true","/store-assets/variants/dr-back-logo.png","/kontakt.html"
"special-sunglasses-night","Nightdrive Sunglasses","Special Merch","Special","Konzept","pending","Noch offen","true","/store-assets/variants/couple-front-verheiratet.png","/kontakt.html"
"special-vinyl-slipmat","Dual Logo Slipmat Set","Special Merch","Special","Konzept","pending","Noch offen","true","/store-assets/variants/dr-back-logo.png","/kontakt.html"
"special-vinyl-bag","Nightdrive Vinyl Bag","Special Merch","Special","Special Drop","pending","Noch offen","true","/store-assets/variants/couple-front-two-hearts.png","/kontakt.html"
"special-event-passband","Event Passband Set","Special Merch","Special","Special Drop","pending","Noch offen","true","/store-assets/variants/couple-front-verheiratet.png","/kontakt.html"
"special-backstage-tag","Backstage Metal Tag","Special Merch","Special","Konzept","pending","Noch offen","true","/store-assets/variants/dr-back-logo.png","/kontakt.html"